Count,Pattern,Songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D 4256D 4128C 4128A 3128C 4128B 3256A 3128G 3256,[CB. Col. 431.txt, Bog. Col. 704.txt, CB. Col. 497.txt, CB. Col. 476.txt, CB. Col. 434.txt, CB. Col. 531.txt, GBr. Col. 110.txt, Bog. Col. 700.txt],,,,,,,,,,,,,,,,,,,,,,,
8,D 4256D 4128C 4128A 3256C 4128B 3256A 3128G 3256,[Bog. Col. 94.txt, NU. Col. 74.txt, Bog. Col. 91.txt, CB. Col. 782.txt, NU. Col. 73.txt, Bog. Col. 293.txt, CB. Col. 784.txt, Bog. Col. 99.txt],,,,,,,,,,,,,,,,,,,,,,,
7,A 3128A 3128G 3128G 3128A 3128A 3128G 3128,[AV. C propriu-zis. 221.txt, BB. C. 138.txt, BB. C. 112.txt, sul 215.txt, sul 34.txt, del 145.txt, IP. Col.160.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,A 3128B 3256A 3128G 3256A 3128B 3256A 3128G 3256,[sul 187.txt, sul 191.txt, sul 190.txt, sul 192.txt, scor 58.txt, sul 183.txt, sul 197.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,A 3128G 3128B 3128A 3128A 3128,[sul 51.txt, Bog. Col. 632.txt, SDrg. Doina. 41.txt, NU. Cvj. 159.txt, Drg. Col. 173.txt, Bog. Col. 695.txt, Bog. Col. 633.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,B 3256C 4128B 3256G 3256A 3128A 3128B 3128A 3128,[NU. Col. 75.txt, Bog. Col. 280.txt, CBr. Col. p. 182.txt, 62b.txt, 62a.txt, CBr. Col. p. 202.txt, Bog. Col. 288.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,D 4128D 4128C 4128B 3256C 4128B 3128A 3128,[CB. Col. 845.txt, CB. Col. 787.txt, CB. Col. 828.txt, CB. Col. 881.txt, CB. Col. 901.txt, CB. Col. 955.txt, Bog. Col. 305.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,D 4256D 4128C 4256C 4128B 3256,[Bog. Col. 668.txt, CB. Col. 509.txt, CB. Col. 600.txt, BB. Col. 84c.txt, CB. Col. 452.txt, Bog. Col. 666.txt, Bog. Col. 664.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,E 4256E 4256A 4128B 4256C 5128B 4256G 4256B 4128,[MM DD. Col 52.txt, MM DD. Col 46.txt, MM DD. Col 45.txt, MM DD. Col 49.txt, MM DD. Col 50.txt, MM DD. Col 54.txt, MM DD. Col 42.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,G 3128B 3128A 3128A 3128G 3256,[CB. Col. 838.txt, Bog. Col. 632.txt, Drg. Col. 173.txt, CB. Col. 404.txt, CB. Col. 885.txt, BB. Col. 40.txt, CB. Col. 849.txt],,,,,,,,,,,,,,,,,,,,,,,,
7,G 3128G 3128B 3128A 3128G 3128G 3128,[TBred. Cpropriu-zis. nr. 190.txt, GBr. Col. 62.txt, BB. Col. 42a.txt, mio_353.txt, Drg. Col. 302.txt, mrz 368.txt, BB. Col. 100i.txt],,,,,,,,,,,,,,,,,,,,,,,,
6,A 3128G 3256A 3128E 3256E 3256A 3128B 3256C 4128,[62c.txt, Bog. Col. 66.txt, Bog. Col. 283.txt, CB. Col. 603.txt, CB. Col. 415.txt, Bog. Col. 276.txt],,,,,,,,,,,,,,,,,,,,,,,,,
6,A 3256G 3128A 3256B 3128A 3256,[sul 211.txt, Drg. Col. 300a.txt, Drg. Col. 300c.txt, sul 252.txt, sul 366.txt, sul 236.txt],,,,,,,,,,,,,,,,,,,,,,,,,
6,A 4128B 4128B 4128A 4128D 5384C 5128B 4256D 4256,[MM DD. Col 76.txt, MM DD. Col 72.txt, MM DD. Col 75.txt, MDD. Col. 141.txt, MM DD. Col 73.txt, MM DD. Col 80.txt],,,,,,,,,,,,,,,,,,,,,,,,,
6,D 4128D 4128C 4128B 3256C 4128B 3128A 3128G 3256,[CB. Col. 845.txt, CB. Col. 787.txt, CB. Col. 881.txt, CB. Col. 901.txt, CB. Col. 955.txt, Bog. Col. 305.txt],,,,,,,,,,,,,,,,,,,,,,,,,
6,E 3128E 3128B 3256B 3512C 4256B 3256A 3256G 3256,[GBr. Col. 65.txt, Bog. Col. 25.txt, GBr. Col. 52.txt, CB. Col. 830.txt, Bog. Col. 220.txt, mrz 70.txt],,,,,,,,,,,,,,,,,,,,,,,,,
6,G 3128C 4256C 4128B 3256D 4128A 3256A 3128G 3256,[Bog. Col. 668.txt, Bog. Col. 121.txt, CB. Col. 509.txt, CB. Col. 525.txt, CB. Col. 452.txt, Bog. Col. 666.txt],,,,,,,,,,,,,,,,,,,,,,,,,
5,A 3128A 3128G 3128B 3128D 4256D 4128E 4128D 4128,[CBr. Col. p. 254.txt, CBr. Col. p. 255.txt, mio_99.txt, mio_123.txt, BB2. Col. 10a.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,A 3128A 3128G 3256A 3128E 3256E 3256A 3128B 3256,[Bog. Col. 66.txt, Bog. Col. 283.txt, CB. Col. 603.txt, CB. Col. 415.txt, Bog. Col. 276.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
